Event ID,Event time,User name,Event name,Resource type,Resources,AWS region,Error code,Source IP address
3da2c2dd-372c-4821-9e68-153987e81642,"2020-06-26, 05:46:04 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:526919081086:trail/Udacity_Trail""}]",us-east-1,,69.115.180.74
9e1f06c8-7116-4e80-9629-0746435fada5,"2020-06-26, 05:43:00 PM",CloudTrail,ConsoleLogin,,,us-east-1,,69.115.180.74
c2e86a43-7510-4be2-a481-e06187ae2440,"2020-06-26, 03:17:50 PM",s3_File_upload_Function,CreateLogStream,,,us-east-1,,34.235.150.51
1171abef-8abe-4b05-9d77-cb4a6c193fdd,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d8c5a4722001e12e""}]",us-east-1,,69.115.180.74
6848638b-017a-4728-8f17-df843308de14,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b6700a1255852a2b""}]",us-east-1,,69.115.180.74
7f603f8e-355a-419e-83b3-c3200114bd3f,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b4c2e678f163033a""}]",us-east-1,,69.115.180.74
eeca0ab1-1aef-48ab-b39c-d774e3e7ab6c,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06b630562c50cae32""}]",us-east-1,,69.115.180.74
abc961a7-d733-42bc-9c72-98568c11d48d,"2020-06-26, 03:11:58 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05f8c9902d88661b5""}]",us-east-1,,69.115.180.74
ff2c388d-456e-459e-9c09-21afdde0ba7a,"2020-06-26, 03:11:58 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-041bb23b546959586""}]",us-east-1,,69.115.180.74
6f9bb44e-2141-4306-b935-b145ecf2fe0e,"2020-06-26, 03:06:24 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
